last_words,sticker_name,caption
том что в понедельник пришли на пару в шапкеневидимке да аааа сорян не знал мы на хаке гс разрешила потом расскажем а надо было на пару приходить а что там происходит я отвечаю он чисто угарает ахахах чë то другое не нихуя не понимаю но я так понимаю за пропуск лекции щас поймëм в ходе объяснительной а что происходит у меня щас ощущение как будто когото повяжут у меня щас ощущения как будто финалку бойцовского клуба смотрю я обожаю аристова да это понятно ну вы как бы весь этот месяц будете к экзам готовиться еба кайф да семестр начинается в феврале то есть месяц учиться не будем оооооо кайф ура спасибо условно с 30 декабря по 10 февраля конечно я так понимаю что да какой смысл нагружать студентов лишним в это время а когда идет сессия мы не учимся типо только в дни экзаменов приходим 20 я немного не поняла нам нужно весь cpp перенести в hpp а ничего что у меня перемога 15 травня у тебя там небось маленький контрнаступ слышь аристов а сколько у тебя километров фронт занимал более выгодный рубеж аристов перегрупировывался просто а тактически отходил он там где прорыв аристов не отступает до берлина отступал,sticker_67.webp,"Есть маленький котенок, сидящий на кровати с одеялом."
сегодня хватит мы после сессии да бля скип мы точно до сессии не доживём так я говорю организуй тогда слона с ними рил хахапхпха кому как ну прикиньте подарок от аристова получить украл у когото подарок и все за экзамен 2 да ну скучно а мы ещё белого слона будем чтоли белый слон с учителями это вообще супер было бы тс оставить без учителей а белого слона с а ведь он заставляет на пары ходить аристова любят больше всех может разделить подарите аристову путёвку в лднр тайный санта с преподами мисис mc aristov please у нас день учителя или тайный санта каких ещё преподов возьмём а го ещё полевому предложим прога дз голосование делаем ну так че ну да и 100 баллов за сем в сумме хорошо а она такая 100 баллов по вычмашу точно в подарке так ты укажи своему подопечному ахаххаха а она подарит 50 баллов ееееее го гс предложим тайного санту у меня есть совершенно ебанутая идея числа 1620 надо всё это провести так что давайте 1 декабря жеребьеву сделаем все кто хотят участвовать до этого времени должны зарегаться по ссылке наша коробка заходим регаемся наша коробка заходим регаемся гооооол хаахвххааххавхах что за медведь вапрооосы это я,sticker_143.webp,"Мультфильм о мужчине, который лежал в постели с ноутбуком"
числа 1620 надо всё это провести так что давайте 1 декабря жеребьеву сделаем все кто хотят участвовать до этого времени должны зарегаться по ссылке наша коробка заходим регаемся наша коробка заходим регаемся гооооол хаахвххааххавхах что за медведь вапрооосы это я я так и знал что наши вчера победят мы третьи лол какой у нас кайфовый скор поздравляем победителей хакатона powersafe ими стали команды 1 sagi ermolaeva 006 2 data pioneers 0025 3 misis arbyz 553e5 хочется отметить что команда sagi ermolaeva на приватном тесте показала интересное решение с применением 3dзрения и отличные от классического ml подходы браво победители ждём презентации ваших решений дедлайн завтра 29 ноября до 900 направляйте сюда lilianspring благодарим всех за участие и приглашаем завтра на закрытие хакатона подробнее обсудим задачу наши подходы в её решении и решения от тройки лидеров присоединяйтесь по ссылке завтра в 930 english version in comments хахахпх это что реакцию если да что по нг 18 голосов за тайного санту за слоника только 5 создаю на сайте для тайного санты нам группу спасибо нашел камила в обсуждение дз вроде кидала ребят есть у кого результаты по экспериментам 6 лабы вторая подгруппа регрессия регрессировала не понял приставку пере андрей такой с вычмашем,sticker_163.webp,"Есть кошка, которая держала пистолет в своих лапах."
числа 1620 надо всё это провести так что давайте 1 декабря жеребьеву сделаем все кто хотят участвовать до этого времени должны зарегаться по ссылке наша коробка заходим регаемся наша коробка заходим регаемся гооооол хаахвххааххавхах что за медведь вапрооосы это я я так и знал что наши вчера победят мы третьи лол какой у нас кайфовый скор поздравляем победителей хакатона powersafe ими стали команды 1 sagi ermolaeva 006 2 data pioneers 0025 3 misis arbyz 553e5 хочется отметить что команда sagi ermolaeva на приватном тесте показала интересное решение с применением 3dзрения и отличные от классического ml подходы браво победители ждём презентации ваших решений дедлайн завтра 29 ноября до 900 направляйте сюда lilianspring благодарим всех за участие и приглашаем завтра на закрытие хакатона подробнее обсудим задачу наши подходы в её решении и решения от тройки лидеров присоединяйтесь по ссылке завтра в 930 english version in comments хахахпх это что реакцию если да что по нг 18 голосов за тайного санту за слоника только 5 создаю на сайте для тайного санты нам группу спасибо нашел камила в обсуждение дз вроде кидала ребят есть у кого результаты по экспериментам 6 лабы вторая подгруппа регрессия регрессировала не понял приставку пере андрей такой с вычмашем,sticker_165.webp,"Есть кошка, которая улыбается и смотрит на камеру"
числа 1620 надо всё это провести так что давайте 1 декабря жеребьеву сделаем все кто хотят участвовать до этого времени должны зарегаться по ссылке наша коробка заходим регаемся наша коробка заходим регаемся гооооол хаахвххааххавхах что за медведь вапрооосы это я я так и знал что наши вчера победят мы третьи лол какой у нас кайфовый скор поздравляем победителей хакатона powersafe ими стали команды 1 sagi ermolaeva 006 2 data pioneers 0025 3 misis arbyz 553e5 хочется отметить что команда sagi ermolaeva на приватном тесте показала интересное решение с применением 3dзрения и отличные от классического ml подходы браво победители ждём презентации ваших решений дедлайн завтра 29 ноября до 900 направляйте сюда lilianspring благодарим всех за участие и приглашаем завтра на закрытие хакатона подробнее обсудим задачу наши подходы в её решении и решения от тройки лидеров присоединяйтесь по ссылке завтра в 930 english version in comments хахахпх это что реакцию если да что по нг 18 голосов за тайного санту за слоника только 5 создаю на сайте для тайного санты нам группу спасибо нашел камила в обсуждение дз вроде кидала ребят есть у кого результаты по экспериментам 6 лабы вторая подгруппа регрессия регрессировала не понял приставку пере андрей такой с вычмашем,sticker_166.webp,близко к собаке в красочной шляпе с пропеллером наверху
числа 1620 надо всё это провести так что давайте 1 декабря жеребьеву сделаем все кто хотят участвовать до этого времени должны зарегаться по ссылке наша коробка заходим регаемся наша коробка заходим регаемся гооооол хаахвххааххавхах что за медведь вапрооосы это я я так и знал что наши вчера победят мы третьи лол какой у нас кайфовый скор поздравляем победителей хакатона powersafe ими стали команды 1 sagi ermolaeva 006 2 data pioneers 0025 3 misis arbyz 553e5 хочется отметить что команда sagi ermolaeva на приватном тесте показала интересное решение с применением 3dзрения и отличные от классического ml подходы браво победители ждём презентации ваших решений дедлайн завтра 29 ноября до 900 направляйте сюда lilianspring благодарим всех за участие и приглашаем завтра на закрытие хакатона подробнее обсудим задачу наши подходы в её решении и решения от тройки лидеров присоединяйтесь по ссылке завтра в 930 english version in comments хахахпх это что реакцию если да что по нг 18 голосов за тайного санту за слоника только 5 создаю на сайте для тайного санты нам группу спасибо нашел камила в обсуждение дз вроде кидала ребят есть у кого результаты по экспериментам 6 лабы вторая подгруппа регрессия регрессировала не понял приставку пере андрей такой с вычмашем,sticker_167.webp,Закрыть собаку с очень большим носом и очень длинными волосами
pioneers 0025 3 misis arbyz 553e5 хочется отметить что команда sagi ermolaeva на приватном тесте показала интересное решение с применением 3dзрения и отличные от классического ml подходы браво победители ждём презентации ваших решений дедлайн завтра 29 ноября до 900 направляйте сюда lilianspring благодарим всех за участие и приглашаем завтра на закрытие хакатона подробнее обсудим задачу наши подходы в её решении и решения от тройки лидеров присоединяйтесь по ссылке завтра в 930 english version in comments хахахпх это что реакцию если да что по нг 18 голосов за тайного санту за слоника только 5 создаю на сайте для тайного санты нам группу спасибо нашел камила в обсуждение дз вроде кидала ребят есть у кого результаты по экспериментам 6 лабы вторая подгруппа регрессия регрессировала не понял приставку пере андрей такой с вычмашем жду в 902знаю что рано еще но жду тогда и пересдавать не придётся зачем туда ходить объективно не идем на сессию там оно просто теряется объективно неделя ментального здоровья это сессия и неделя зачётов это не рофл это от гс очень трогательно ты будешь просыпаться и думать о том что существует в мире какойто артур филатов который так и не получил твой билет на кр у меня его нет,sticker_188.webp,"улыбающееся лицо, держащее эмотику сердца"
артур филатов который так и не получил твой билет на кр у меня его нет просто чтобы ты засыпала с мыслью что я хочу узнать твой вариант по матеше за прошлый год ну мне не срочно ищите на мудле ребят простите но я три дня вне доступа буду скинь ilyyliily типового мало типовой вроде на мудле должен быть у нас есть варианты экзаменов за математику прошлых лет у нас на паре будет еще одна группа поэтому если хотите первые парты приходите вовремя наевся и спить всем доброе утро солнце москвы это самое высокое колесо обозрения в европе высота колеса 140 метров время полета составит 18 мин 40 сек спешим сообщить вам о новой акции для студентов которая включает в себя прокат на колесе обозрения и обед в ресторане rostics покупка билета студенческий происходит в кассах или на нашем официальном сайте при покупке данного тарифа необходимо будет предъявить студенческий билет или любой другой документ подтверждающий обучение в колледжеуниверситете и тп сотруднику при входе на аттракцион для получения обеда необходимо сначала прокатиться на колесе обозрения далее подойти к стойке информации в главном холле предъявить администратору билет на колесо обозрения в обмен на купон деда разозлили ловушка джокера кто подписи умеет подделывать,sticker_207.webp,Черно-белая фотография треугольника со словами Бебе Такитайт
kkskkf пришлите пожалуйста результаты своих экспериментов лаба не очень сложная но эксперименты объемные и требуют большого количества компов мы успели качественно сделать половинуя забыл кто пинганул меня в важном но это ответ к 9 еще можно на всякий старые дома или игровые у некоторых есть да ошибся 7 или сразу к 7 и 8 ничего себе а готовится к 7 надо же мы 7ю сделали и сразу 8ю начали егор ноутбук с выходом в ethernet firegory я не с твоей подгруппы но почему восьмую лабу мы же 7 еще не доделали завтра после четвертой пары активные и знающие люди могут прийти и доделать седьмую лабу не обязательно быть из первой подгруппы но предупреждаю посидеть в телефоне не получится буду гнать не сильно задумываясь приходим обязательно усердно прочитав материал к лабе и очень желательно принести ноутбук с выходом ethernet там стрим добавил в группу тебя firegory требую стрим с математики кстати написал от души да я даже в яндекс форму не заходил он анонимный в раздел новости отправил ссылку на опрос всем питающимся в столовой рекомендую пройти вот это реально годный опрос рекомендую всем пройти помогите нам сделать работу наших столовых еще лучше и уделите пару минут для прохождения опроса пожалуйста,sticker_243.webp,Обнаженный образ человека в военной форме с фальшивым лицом
что всем студентам желающим получать материальную поддержку в 2025 году необходимо подать новое заявление график приема заявлений будет доступен в начале 2025 года по всем вопросам обращайтесь в сообщения группы пропуски подтверждаю она бежит я бегу пробиваюсь через толпу что там происходит ребята где андрей а мы как эту лабу делаем вместе как прошлые ого коммутатор даже на микроволновку передавать умеет чегооо 22 и 23 ноября прошли всероссийские соревнования среди студентов по плаванию имени виктора георгиевича мазанова ℹ наш университет мисис представляли 6 участников спортсмены показали достойный результат и завоевали в командном зачете 13 место из 29 команд поздравляем участников соревнований мы же ряды не проходили еще ну и мы участники конгресса изза этого там финал кубка ртк как ты попала туда ещё и хвастается ну я не одна справедливости ради крутая я бедная не бля на такси нифига ученая уже а то тоже через неделю улетаю ооо значит расскажешь мне как туда добиратьсч да конгресс молодых учёных а ты из шереметьево битва роботов ого а что там хорошей дороги в сочи изначально я так и думал вот я преобразования не смотрел всё нет вопросов и тут просто написано arccotx эквивалентна 1x при xinf буквально именно равно,sticker_294.webp,"Закрыть мужчину в черной рубашке, глядя на мобильный телефон"
